,company,station,pollutant,year,month,emission,availability
114,Jindal Steel and Power Limited,CEMS-15,PM,2016,1,22489,0.5037858422939068
115,Jindal Steel and Power Limited,CEMS-18,PM,2016,1,25766,0.5771953405017921
116,Jindal Steel and Power Limited,CEMS-20,PM,2016,1,8995,0.20150089605734767
117,Jindal Steel and Power Limited,CEMS-21,PM,2016,1,2518,0.056406810035842296
118,Jindal Steel and Power Limited,RHF-stack,PM,2016,1,26241,0.5878360215053764
119,Jindal Steel and Power Limited,st1,PM,2016,1,7052,0.15797491039426523
120,Jindal Steel and Power Limited,st2,PM,2016,1,8318,0.18633512544802866
121,Jindal Steel and Power Limited,st3,PM,2016,1,7935,0.17775537634408603
122,Jindal Steel and Power Limited,st4,PM,2016,1,7884,0.17661290322580644
123,Jindal Steel and Power Limited,st5,PM,2016,1,6977,0.1562948028673835
124,Jindal Steel and Power Limited,st6,PM,2016,1,374,0.008378136200716845
125,Jindal Steel and Power Ltd,CEMS-1,PM,2016,1,26247,0.5879704301075269
126,Jindal Steel and Power Ltd,CEMS-2,PM,2016,1,31506,0.7057795698924731
127,Jindal Steel and Power Ltd,CEMS-3,PM,2016,1,31474,0.7050627240143369
128,Kamal Jeet Singh Ahluwalia,CEMS-1,PM,2016,1,7421,0.1662410394265233
129,Kamal Jeet Singh Ahluwalia,CEMS-2,PM,2016,1,14552,0.32598566308243726
130,Kapilas Cement Manufacturing Works (A unit of OCL India Ltd),CEMS-1,PM,2016,1,30333,0.679502688172043
131,Karakola Sponge Iron Ltd.,CEMS-1,PM,2016,1,30621,0.6859543010752688
132,Karakola Sponge Iron Ltd.,CEMS-2,PM,2016,1,29406,0.6587365591397849
133,MGM Minerals Limited (Steel Division),CEMS-1,PM,2016,1,22212,0.4975806451612903
134,MSP Metalics Limited,CEMS-3,PM,2016,1,9930,0.22244623655913978
135,MSP Metalics Limited,CEMS-4,PM,2016,1,9542,0.21375448028673835
136,MSP Metalics Limited,CEMS-5,PM,2016,1,8907,0.1995295698924731
137,MSP Metalics Limited,CEMS-6,PM,2016,1,10005,0.2241263440860215
138,MSP Metalics Limited,CEMS-7,PM,2016,1,7306,0.16366487455197132
139,MSP Metalics Limited,CEMS-8,PM,2016,1,2276,0.05098566308243727
140,Maithan Ispat Limited,CEMS-1,PM,2016,1,27531,0.6167338709677419
141,Maithan Ispat Limited,CEMS-2,PM,2016,1,30169,0.675828853046595
142,Mayur Electro Ceramics Pvt. Ltd.,CEMS-1,PM,2016,1,12788,0.2864695340501792
143,Mayur Electro Ceramics Pvt. Ltd.,CEMS-2,PM,2016,1,225,0.005040322580645161
144,Mideast Integrated Steels Ltd.,CEMS-1,PM,2016,1,10645,0.2384632616487455
145,N. K. Bhojani Pvt. Ltd.,CEMS-1,PM,2016,1,18548,0.41550179211469535
146,"NALCO Ltd.,Captive Power Plant",CEMS-1,PM,2016,1,25371,0.5683467741935484
147,"NALCO Ltd.,Captive Power Plant",CEMS-2,PM,2016,1,25006,0.5601702508960573
148,"NALCO Ltd.,Captive Power Plant",CEMS-3,PM,2016,1,23954,0.5366039426523298
149,"NALCO Ltd.,Captive Power Plant",CEMS-4,PM,2016,1,25815,0.5782930107526881
150,"NALCO Ltd.,Captive Power Plant",CEMS-6,PM,2016,1,15183,0.3401209677419355
151,"NALCO Ltd.,Captive Power Plant",CEMS-7,PM,2016,1,11535,0.2584005376344086
152,"NALCO Ltd.,Captive Power Plant",CEMS-8,PM,2016,1,25672,0.575089605734767
153,"NALCO Ltd.,Refinery",CALCINER-B,PM,2016,1,13782,0.3087365591397849
154,"NALCO Ltd.,Refinery",CISFAAQ2,PM,2016,1,861,0.01928763440860215
155,"NALCO Ltd.,Smelter Plant",CEMS-10,PM,2016,1,10971,0.24576612903225806
156,"NALCO Ltd.,Smelter Plant",CEMS-11,PM,2016,1,17169,0.3846102150537634
157,"NALCO Ltd.,Smelter Plant",CEMS-5,PM,2016,1,23962,0.5367831541218638
158,"NALCO Ltd.,Smelter Plant",CEMS-7,PM,2016,1,14546,0.32585125448028673
159,"NALCO Ltd.,Smelter Plant",CEMS-8,PM,2016,1,19079,0.42739695340501793
